forb,,,,,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,,
swa,cl2,re,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
swa,cl2,re,2,1,,,,,,,14,,,,,,,,,,4,,,,,,,14,,,,,,,,,,,4,,,1,,,4,,,,,,,,,9,
swa,cl2,re,2,2,,,,,,4,5,,,,1,,,,,,1,,,,,,,3,,1,,,,,,,,,2,,,2,,,14,,,,,,,,,18,
swa,cl2,re,2,3,,,,,,5,12,,,,3,,,,,,1,,,,,,,3,,,,,,,,,,,1,,,2,,,4,,,,,,,,,7,
swa,cl2,re,2,4,,,,,,,17,,,,,,,,,,1,,,,,,,11,,,,,,,,,,,1,,,5,,,,,,,,,,,,6,
swa,cl2,re,3,1,,,,,,1,3,,1,,6,,,,2,,6,,,1,,,1,5,,,,,,,,,,,4,,,5,,,13,9,,,,,,,,31,
swa,cl2,re,3,2,,1,1,1,,,4,,,,2,,,,3,,3,,,,,,3,4,,,,,,,,,1,,6,,,9,,,3,5,,,,,,,,24,
swa,cl2,re,3,3,,,1,,,2,3,,2,,4,,,,,,6,,,,,,,9,,,,,,,,,,,9,,,2,,,5,1,,,,,,,,17,
swa,cl2,re,3,4,,,,,,,8,,1,,3,1,,,,,1,,1,,,1,,10,,,,,,,,,,,1,,,12,,,2,2,,,,,,,,17,
swa,cl2,sd,1,1,,2,2,1,,2,2,,,,1,,,,7,,1,,,,,,,2,,,,,,,,,,,,,,12,,2,4,,,,,,,,,18,
swa,cl2,sd,1,2,,,6,1,,,2,,1,,4,,,,3,,3,,,,,,,2,,1,,,,1,,,,,1,,,2,,1,7,1,,,,,,,,12,
swa,cl2,sd,1,3,,3,,,,,10,,1,,,,,,1,,,,,,,1,,5,,2,,,,,,,,,12,,,3,,1,5,,,,,,,,,21,
swa,cl2,sd,1,4,,,4,1,,,,,,,,,,,14,,2,,,,,,1,2,,,,,,,,,,,1,,,2,,1,4,,1,,,,,1,,10,
swa,cl2,sd,2,1,,,,,,1,10,,1,,1,,,,,,6,,,,,,,4,,1,,,,,,,,,6,,,3,,,12,,,,,,,,,21,
swa,cl2,sd,2,2,,,,,,4,7,,,,2,,,,,,1,,,,,,,1,,,,,,,,,,,,,,7,,,16,,,,,,,,,23,
swa,cl2,sd,2,3,,,,,,1,2,,2,,2,,,,,,3,,,,,,1,10,,,,,,,,,,,4,,,5,,,5,,,,,,,,,14,
swa,cl2,sd,2,4,,,,,,6,3,,2,,,,,,,,1,,,,,,,2,,,,,,,,,,,2,,,6,,,12,,,,,,,,,20,
swa,cl2,sd,3,1,,,,,,,6,,1,,,,,,,,2,,,,,,,8,,1,,,,,,,,,,,,3,,,12,1,,,,,,,,16,
swa,cl2,sd,3,2,,,,,,4,10,,,,,,,,,,3,,,,,,,10,,,,,,,,,,,2,,,6,,,4,,,,,,,,,12,
swa,cl2,sd,3,3,,,,,,,16,,,,,,,,,,2,,,,,,,5,,,,,,,,,,,2,,,11,,,7,1,,,,,,,,21,
swa,cl2,sd,3,4,,,,,,,14,,,,,,,,,,4,,,,,,,10,,,,,,,,,,,,,,4,,,11,,,,,,,,,15,
swa,cl3,ll,1,1,,1,1,,,,,,,,,,,,2,,,,,,,,,11,,,,,,,,,,,7,,,5,,3,6,,,,,,,,,21,
swa,cl3,ll,1,2,,,2,,,,,,,,2,,,,8,,4,,,,,,1,3,,,,,,,,,,,3,,,,,2,9,,,1,,,,,,15,
swa,cl3,ll,1,3,,,,,,,,,1,,1,,,,1,,,,,,,,,5,,,,,,,,,,,5,,,8,,3,10,,,,,,,,,26,
swa,cl3,ll,1,4,,,1,,,,,,,,,,,,2,,,,,,,,1,2,,,,,,,,,,,6,,,10,,3,2,,,1,,,,,,22,
swa,cl3,ll,2,1,,,1,,,3,,,1,,,,,,,,,,,,,,,6,,1,,,,,,,,,6,,,5,,,15,,,,,,,,,26,
swa,cl3,ll,2,2,,,,,,2,5,,1,,,,,,,,1,,,,,,,2,,,,,,,,,,,4,,,7,,,17,,,,,,,,,28,
swa,cl3,ll,2,3,,,,,,,17,,1,,,,,,,,,,,,,,1,7,,,,,,,,,,,2,,,8,,,7,,,,,,,,,17,
swa,cl3,ll,2,4,,,,,,,5,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,13,,,4,,,10,,,,,,,,,27,
swa,cl3,ll,3,1,,,,1,,1,3,,2,,2,,,,,,4,,,,,,,1,,,,,,,,,,,,,,15,,,,,,,,,,,,15,
swa,cl3,ll,3,2,,,,,,,9,,,,,,,,,,,,,,,,,10,,2,,,,,,,,,5,,,7,,,8,1,,,,,,,,21,
swa,cl3,ll,3,3,,3,2,,,3,9,,1,,1,,,,,,4,,,,,,,5,,1,,,,,,,,,1,,,8,,,3,,,,,,,,,12,
swa,cl3,ll,3,4,,,2,,,,7,,,,,,,,,,1,,,,,,1,5,,,,,,,,,,,4,,,10,,,3,,,,,,,,,17,
swa,cl3,re,1,1,,,,,,,15,,,,2,,,,,,,,,,,,,6,,,,,,,,,,,6,,,9,,,16,1,,,,,,,,32,
swa,cl3,re,1,2,,,,,,3,10,,2,,,,,,,,3,2,,,,,,5,,,,,,,,,,,4,,,8,,1,7,3,,,,,,,,23,
swa,cl3,re,1,3,,1,,,,,10,,3,,1,,,,,,3,,,,,1,,14,,,,,,,,,,,3,,,1,,3,8,4,,,,,,,,19,
swa,cl3,re,1,4,,,,,,,9,,,,2,,,,2,,3,,,,,,,9,,,,,,,,,,,4,,,2,,,19,1,,,,,,,,26,
swa,cl3,re,2,1,,,,,,,1,,2,,3,,,,3,,,,,,,,,11,,,,,,,,,,,1,,,3,,,14,,,6,,,,,,24,
swa,cl3,re,2,2,,,,,,,1,,,,,,,,2,,3,,,,,,,12,,,,,,,,,,,,,,8,,,10,,,,,,,,,18,
swa,cl3,re,2,3,,1,,1,,,,,,,2,,,,2,,2,,,,,,,13,,,,,,,,,,,,,,5,,,9,,,1,,,,,,15,
swa,cl3,re,2,4,,,,,,,3,,2,,1,,,,1,,,,,,,,,8,,,,,,,,,,,,,,5,,3,5,,,,,,,,,13,
swa,cl3,re,3,1,,,2,,,,1,,1,,,1,,,3,,1,,,,,,,5,,,,,,,,,,,5,,,15,,,1,,,,,,,,,21,
swa,cl3,re,3,2,,,,,,,6,,3,,,,,,1,,,,,,,,,8,,,,,,,,,,,4,,,11,,,1,4,,,,,,,,20,
swa,cl3,re,3,3,,1,1,,,,,,5,,1,,,,,,1,,,,,,,7,,,,,,,,,,,,,,9,,,10,,,,,,,,,19,
swa,cl3,re,3,4,,,,,,,,,1,,,,,,10,,,,,,,,,2,,,,,,,,,,,7,,,7,,,4,,,,,,,,,18,
swa,cl3,sd,1,1,,,1,,,,3,,3,,1,,,,,,3,,,,,,,9,,,,,,,,,,,2,,,9,,,2,,,,,,,,,13,
swa,cl3,sd,1,2,,,,,,,3,,1,,2,,,,,,2,,,,,,,14,,,,,,,,,,,6,,,3,,,7,,,,,,,,,16,
swa,cl3,sd,1,3,,,1,,,1,4,,,,,,,,,,,,,,,,,6,,,,,,,,,,,2,,,4,,,12,,,4,,,,,,22,
swa,cl3,sd,1,4,,,,,,,,,1,,1,,,,,,,,,,,,,7,,,,,,,,,,,11,,,8,,,9,,,,,,,,,28,
swa,cl3,sd,2,1,,1,,,,1,7,,1,,,,,,2,,3,,,,,,,2,,2,,,,,,,,,7,,,4,,,12,,,,,,,,,23,
swa,cl3,sd,2,2,,,,,,,4,,,,4,,,1,4,,3,,,,,,,5,,1,,,,,,,,,2,,,4,,,13,,,,,,,,,19,
swa,cl3,sd,2,3,,,6,,,1,2,,,,6,,,,4,,4,,,,,,,3,,,,,,,,,,,,,,,,,6,,,9,,,,,,15,
swa,cl3,sd,2,4,,,,,,,9,,,,1,,,,2,,7,,,,,,,4,,,,,,,,,,,6,,,5,,,6,,,1,,,,,,18,
swa,cl3,sd,3,1,,,,,,1,5,,2,,1,,,,,,,,,,,,1,4,,,,,,,,,,,8,,,11,,,4,,,,,,,,,23,
swa,cl3,sd,3,2,,,1,,,,5,,,,,,,,,,2,,,,,,,5,,,,,,,,,,,6,,,8,,,10,,,,,,,,,24,
swa,cl3,sd,3,3,,,2,,,,8,,,,,,,,,,4,,,,,,3,6,,,,,,,,,,,2,,,11,,,5,,,,,,,,,18,
swa,cl3,sd,3,4,,1,,,,,10,,,,,,,,,,2,,,,,,,5,,,,,,,,,,,4,,,8,,,7,,,,,,,,,19,
swa,con,.,1,1,,,1,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,2,,,,,,15,,,,,,,,,17,
swa,con,.,1,2,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,2,,,2,,,18,,,,,,,,,22,
swa,con,.,1,3,,,,,,1,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,6,,,2,,,19,,,,,,,,,27,
swa,con,.,1,4,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,2,,,23,,,,,,,,,28,
swa,con,.,2,1,,,,1,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,14,,,6,,,9,,,,,,,,,29,
swa,con,.,2,2,,,1,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,12,,,6,,,2,,,,,,,,,20,
swa,con,.,2,3,,,,,,,,,,,1,,,,,,1,,,,5,,,,,,,,,,,,,,6,,,10,,,4,,,,,,,,,20,
swa,con,.,2,4,,,,,,,,,,,,,,,,,1,,,,7,,,,,,,,,,,,,,5,,,9,,,5,,,,,,,,,19,
swa,con,.,3,1,,,,,,,,,,,,,,,,,1,,,,5,,,,,,,,,,,,,,10,,,3,,,15,,,,,,,,,28,
swa,con,.,3,2,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,8,,,6,,,4,,,,,,,,,18,
swa,con,.,3,3,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,6,,,3,,,13,,,,,,,,,22,
swa,con,.,3,4,,,,,,,,,,,,,,,,,7,,,,9,,,,,,,,,,,,,,1,,,4,,,10,,,,,,,,,15,
swa,gra,.,1,1,,,,,,,,,1,,3,,,,4,,3,,,,,,1,5,,,,,,,,,,,7,,,3,,4,11,7,,8,,,,,,40,
swa,gra,.,1,2,,,,,,,,,1,,1,,,,2,,1,,,,,,2,2,,,,,,,,,1,,,,,1,,,3,1,,19,,,,,,25,
swa,gra,.,1,3,,,,,,,,,1,,2,,,,2,,,,,,,,1,3,,,,,,,,,,,1,,,2,,,,,,21,,,,,,24,
swa,gra,.,1,4,,,,,,,,,,,1,,,,7,,,,,,,2,3,6,,,,,,,,,,,7,,,2,,1,11,,,16,,,,,,37,
swa,gra,.,2,1,1,,1,,,,1,,,,3,,,,7,,,,,,,,3,2,,,,,,,,,,,9,,,3,,1,9,,,4,,,,,,26,
swa,gra,.,2,2,,,,1,,,7,,,,,,,,6,,,,,,,,,3,,4,,,,,,,,,11,,,7,,6,15,,,2,,,,,,41,
swa,gra,.,2,3,3,,,,,,4,,1,,1,,,,15,,,,1,,,,3,15,,,,,,,,,,,2,,,2,,8,11,,,7,,,,,,30,
swa,gra,.,2,4,,1,,1,,,3,,2,,,,2,,7,,2,,,3,,,2,6,,,,,3,,,,,,4,,,3,,6,10,,,13,,,,,,36,
swa,gra,.,3,1,,,,,,,5,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,5,,,8,,,16,3,,,,,,,,32,
swa,gra,.,3,2,,,3,,,,5,,1,,,,,,,,,,,,,,,5,,,,,,,,,,,8,,,2,,,8,1,,,,,,,,19,
swa,gra,.,3,3,,,,,,,2,,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,1,,,25,,,8,,,,,,,,,34,
swa,gra,.,3,4,,,,,,,4,,,,1,,,,,,,,,,,,,4,,,,,,,,,,,8,,,12,,,,1,,,,,,,,21,
ucsc,cl1,ll,1,1,,,4,,,7,,1,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,
ucsc,cl1,ll,1,2,,,1,,,5,,,,,1,,,,16,,,,,,3,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,
ucsc,cl1,ll,1,3,,,,,,,,,,,,,,,15,,,,,,6,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,4,
ucsc,cl1,ll,1,4,,,2,,,2,,4,1,,,,,,13,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,2,
ucsc,cl1,ll,2,1,,1,,,,7,,1,1,,,,,,,,,,,,1,,,,,,,,4,,,,,,,10,,8,,,2,,,,,,,,,20,
ucsc,cl1,ll,2,2,,1,,,,4,,1,,,,,,,6,,,,,,,,,,,,,,3,,,,,,,15,,7,,,3,,,,,,,,,25,
ucsc,cl1,ll,2,3,,1,,,,13,,,1,,,,,,6,,,,,,1,,,,,,,,5,,,,,,,8,,8,,,2,,,,,,,,,18,
ucsc,cl1,ll,2,4,,4,,,,,,,,,,,,,,,1,,,,,,,,,,,,17,,,,,,,10,,6,,,1,,,,,,,,,17,
ucsc,cl1,ll,3,1,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,21,,3,,,3,,,,,,,,,27,
ucsc,cl1,ll,3,2,,1,,,,6,,,,,,,,,8,,,,,,,,,,,,,,5,,,,,,,13,,3,,,2,,,,,,,,,18,
ucsc,cl1,ll,3,3,,,,,,3,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,,21,,1,,,1,,,,,,,,,23,
ucsc,cl1,ll,3,4,,,,,,6,,,1,,,,,,,,,,,,,,,,,,,,5,,,,,,,22,,2,,,1,,,,,,,,,25,
ucsc,cl1,re,1,1,,3,1,,,3,,7,,,,,,,8,,2,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,
ucsc,cl1,re,1,2,,,,,,5,,3,,,,,,,10,,,,,,,,,5,,,,,,,,,,,4,1,,1,,,1,,,,,,,,,7,
ucsc,cl1,re,1,3,,,,,,5,,,,,,,,,21,,,,,,,,,1,,,,,,,,,,,,,,1,,,3,,,,,,,,,4,
ucsc,cl1,re,1,4,,,1,,,5,,2,,,,,,,13,,3,,,,1,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,3,
ucsc,cl1,re,2,1,,1,,,,15,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,15,
ucsc,cl1,re,2,2,,2,,,,12,,3,2,,,,,,3,,3,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,12,
ucsc,cl1,re,2,3,,2,,,,3,,1,1,,,,,,7,,2,,,,3,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,12,
ucsc,cl1,re,2,4,,5,,,,8,,1,,,,,,,8,,,,,,1,,,,,,,,,,,,,,1,5,,1,,,1,,,,,,,,,8,
ucsc,cl1,re,3,1,,3,1,,,1,,1,,,,,,,14,,,,,,,,,,,,,,,,,,,,,1,,,,,7,,,,,,,,,8,
ucsc,cl1,re,3,2,,1,,,,2,,,,,,,,,17,,2,,,,1,,1,,,,,,,,,,,,,10,,,,,1,,,,,,,,,11,
ucsc,cl1,re,3,3,,1,,,,5,,5,,,,,,,7,,1,,,,,,,,,,,,,,,,,,,13,,,,,1,,,,,,,,,14,
ucsc,cl1,re,3,4,,3,2,,,1,,4,1,,,,,,9,,2,,,,,,,,,,,,,,,,,,,5,,,,,5,,,,,,,,,10,
ucsc,cl1,sd,1,1,,3,,,,10,,1,,,,,,,3,,,,,,,,,,,,,,4,,,,,,1,9,,1,,,4,,,,,,,,,15,
ucsc,cl1,sd,1,2,,,3,,,,1,1,,,,,,,9,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,11,
ucsc,cl1,sd,1,3,,1,1,,,5,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,9,,3,,,14,,,,,,,,,26,
ucsc,cl1,sd,1,4,,,,,,11,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,7,,2,,,9,,,,,,,,,18,
ucsc,cl1,sd,2,1,,,1,,,3,,,,,,,,,18,,,,,,3,,,,,,,,,,,,,,,3,,,,,2,,,,,,,,,5,
ucsc,cl1,sd,2,2,,,,,,1,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,3,
ucsc,cl1,sd,2,3,,2,,,,12,4,,,,1,,,,3,,,,,,,,,,,,,,,,,,,,,6,,,,,1,,,,,,,,,7,
ucsc,cl1,sd,2,4,,3,,,,11,,4,1,,,,,,8,,,,,,2,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,
ucsc,cl1,sd,3,1,,7,,,,11,,1,,,,,,,13,,,,,,1,,,,,,,,,,,,,,1,3,,,,,9,,,,,,,,,13,
ucsc,cl1,sd,3,2,,3,,,,8,,5,,,,,,,12,,,,,,,3,,,,,,,,,,,,,4,4,,1,,,3,,,,,,,,,12,
ucsc,cl1,sd,3,3,,4,,,,1,,3,1,,1,,,,20,,,,,,,2,2,,,,,,,,,,,,,4,,1,,,11,,,,,,,,,16,
ucsc,cl1,sd,3,4,,7,,,,12,,3,6,,,,,,8,,5,,,,,1,,,,,,,,,,,,,3,,,2,,,1,,,,,,,,,6,
ucsc,cl2,ll,1,1,,2,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,,2,,,3,,,,,,,,,15,
ucsc,cl2,ll,1,2,,,,,,25,1,,,,,,,,3,,,,,,1,,,,,,,,,,,,,,1,4,,1,,,1,,,,,,,,,7,
ucsc,cl2,ll,1,3,,,,,,20,,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,4,4,,,,,1,,,,,,,,,9,
ucsc,cl2,ll,1,4,,3,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,6,
ucsc,cl2,ll,2,1,,,1,,,5,,2,2,,,,,,6,,1,,,,,,,,,,,,1,,,,,,,7,,,,,5,,,,,,,,,12,
ucsc,cl2,ll,2,2,,2,1,,,1,,,,,,,,,13,,1,,,,1,,,,,,,,1,,,,,,,7,,,,,3,,,,,,,,,10,
ucsc,cl2,ll,2,3,,3,2,,,3,,,,,,,,,8,,,,,,,,,,,,,,2,,,,,,,6,,,,,5,,,,,,,,,11,
ucsc,cl2,ll,2,4,,,,,,4,,,1,,,,,,7,,1,,,,1,,,,,,,,2,,,,,,,12,,,,,2,,,,,,,,,14,
ucsc,cl2,ll,3,1,,,,,,15,,1,2,,,,,,,,,,,,2,,,,,,,,4,,,,,,,10,,7,,,1,,,,,,,,,18,
ucsc,cl2,ll,3,2,,,,,,1,,,2,,,,,,21,,,,,,1,3,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,
ucsc,cl2,ll,3,3,,1,,,,5,,2,,,1,,,,11,,,,,,3,,,,,,,,4,,,,,,,4,,1,,,1,,,,,,,,,6,
ucsc,cl2,ll,3,4,,,,,,11,,2,6,,1,,,,4,,,,,,3,,,,,,,,2,,,,,,,3,,1,,,1,,,,,,,,,5,
ucsc,cl2,re,1,1,,2,,,,9,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,
ucsc,cl2,re,1,2,,,,,,3,1,1,,,,,,,20,,,,,,,,,,,,,,,,,,,,,1,,,,,5,,,,,,,,,6,
ucsc,cl2,re,1,3,,,,,,15,,1,1,,,,,,2,,6,,,,,,,,,,,,,,,,,,,4,,2,,,2,,,,,,,,,8,
ucsc,cl2,re,1,4,,1,,,,23,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,
ucsc,cl2,re,2,1,,,2,,,7,,2,,,,,,,13,,,,,,,,,,,,,,1,,,,,,,10,,,,,2,,,,,,,,,12,
ucsc,cl2,re,2,2,,,3,,,4,,2,,,,,,,13,,,,,,2,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,
ucsc,cl2,re,2,3,,,4,,,6,,,1,,,,,,12,,,,,,2,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,6,
ucsc,cl2,re,2,4,,,1,,,5,,,1,,,,,,20,,,,,,,,,,,,,,2,,,,,,1,9,,,,,,,,,,,,,,10,
ucsc,cl2,re,3,1,,2,,,,6,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,4,
ucsc,cl2,re,3,2,,,7,,,4,,1,4,,,,,,7,,,,,,,,,,,,,,3,,,,,,,4,,,,,,,,,,,,,,4,
ucsc,cl2,re,3,3,,,6,,,11,,,1,,,,,,5,,,,,,,,,,,,,,5,,,,,,,3,,,,,,,,,,,,,,3,
ucsc,cl2,re,3,4,,,,,,14,,,,,,,,,4,,2,,,,,,,,,,,,3,,,,,,1,3,,1,,,2,,,,,,,,,7,
ucsc,cl2,sd,1,1,,2,4,,,3,,,,,,,,,11,,,,,,1,1,,,,,,,,,,,,,,,,1,,,8,,,,,,,,,9,
ucsc,cl2,sd,1,2,,1,2,,,4,,2,,,,,,,14,,,,,,1,,1,,,,,,,,,,,,,,,,,,5,,,,,,,,1,6,
ucsc,cl2,sd,1,3,,,4,,,13,,5,,,,,,,4,,,,,,1,,,,,,,,,,,,,,1,2,,2,,,1,,,,,,,,,6,
ucsc,cl2,sd,1,4,,,1,,,18,,1,,1,,,,,4,,,,,,1,,,,,,,,,,,,,,1,,,,,,8,,,,,,,,,9,
ucsc,cl2,sd,2,1,,2,1,,,15,,1,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,5,,,2,,,,,,,,,7,
ucsc,cl2,sd,2,2,,,1,,,19,,1,1,,,,,,2,,,,,,,,,,,,,,5,,,,,,,,,1,,,,,,,,,,,,1,
ucsc,cl2,sd,2,3,,,,,,18,,,,,,,,,2,,,,,,,,,,,,,,3,,,,,,,7,,1,,,,,,,,,,,,8,
ucsc,cl2,sd,2,4,,,,,,13,,,,,,,,,8,,,,,,,,,,,,,,1,,,,,,,2,,1,,,,,,,,,,,,3,
ucsc,cl2,sd,3,1,,1,1,,,2,,,,,,,,,16,,,,,,1,,,,,,,,3,,,,,,1,4,,,,,1,,,,,,,,,6,
ucsc,cl2,sd,3,2,,,4,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,4,,,,,1,,,,,,,,,5,
ucsc,cl2,sd,3,3,,2,3,,,2,,1,1,,,,,,15,,,,,,,,,,,,,,3,,,,,,1,5,,,,,9,,,,,,,,,15,
ucsc,cl2,sd,3,4,,,3,,,7,,4,2,,,,,,7,,,,,,2,,,,,,,,1,,,,,,1,5,,,,,3,,,,,,,,,9,
ucsc,cl3,ll,1,1,,,2,,,1,,,1,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,1,,,11,,,,,,,,,12,
ucsc,cl3,ll,1,2,,2,,,,11,,6,2,,,,,,3,,6,,,,2,,,,,,,,,,,,,,,7,,5,,,7,,,,,,,,,19,
ucsc,cl3,ll,1,3,,2,6,,,7,,2,1,,,,,,3,,1,,,,2,,,,,,,,,,,,,,,7,,,,,1,,,,,,,,,8,
ucsc,cl3,ll,1,4,,,4,,,1,,1,,,,,,,19,,1,,,,,,,,,,,,,,,,,,,1,,,,,8,,,,,,,,,9,
ucsc,cl3,ll,2,1,,1,1,,,2,,,,,,,,,15,,2,,,,1,,,,,,,,,,,,,,,5,,,,,1,,,,,,,,,6,
ucsc,cl3,ll,2,2,,,1,,,8,,2,,,,,,,11,,,,,,2,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,4,
ucsc,cl3,ll,2,3,,,,,,5,,,,,,,,,17,,,,,,1,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,5,
ucsc,cl3,ll,2,4,,,,,,2,,,1,,,,,,8,,1,,,,3,,,,,,,,,,,,,,,9,,,,,3,,,,,,,,,12,
ucsc,cl3,ll,3,1,,,1,,,9,,,1,,1,,,,10,,,,,,,,,,,,,,2,,,,,,,4,,,,,2,,,,,,,,,6,
ucsc,cl3,ll,3,2,,1,2,,,7,,,2,,,,,,3,,3,,,,1,,,,,,,,6,,,,,,,3,,,,,2,,,,,,,,,5,
ucsc,cl3,ll,3,3,,,,,,13,,1,1,,,,,,1,,1,,,,,,,,,,,,1,,,,,,,11,,,,,4,,,,,,,,,15,
ucsc,cl3,ll,3,4,,,,,,8,,4,1,,,,,,,,,,,,,,,,,,,,5,,,,,,,11,,,,,2,,,,,,,,,13,
ucsc,cl3,re,1,1,,1,,,,14,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,2,,,7,,,,,,,,,14,
ucsc,cl3,re,1,2,,,1,,,17,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,7,,,,,3,,,,,,,,,10,
ucsc,cl3,re,1,3,,2,,,,6,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,9,,8,,,8,,,,,,,,,25,
ucsc,cl3,re,1,4,,1,12,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,4,,,,,,,,,6,
ucsc,cl3,re,2,1,,1,6,,,2,,5,1,,1,,,,11,,,,,,,,,,,,,,,,,,,,,2,,,,,5,,,,,,,,,7,
ucsc,cl3,re,2,2,,6,2,,,2,,3,,,,,,,10,,,,,,1,9,1,,,,,,,,,,,,,2,,1,,,2,,,,,,,,,5,
ucsc,cl3,re,2,3,,2,4,,1,1,,1,,,,,,,18,,,,,,,1,,,,,,,,,,,,,,2,,,,,3,,,,,,,,,5,
ucsc,cl3,re,2,4,,1,9,,,1,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,2,,,,,6,,,,,,,,,8,
ucsc,cl3,re,3,1,,1,1,,,19,,3,,,1,,,,2,,4,,,,,,,,,,,,6,,,,,,1,1,,,,,7,,,,,,,,,9,
ucsc,cl3,re,3,2,,,4,,,7,,,,,,,,,15,,,,,,1,,,,,,,,4,,,,,,1,,,2,,,3,,,,,,,,,6,
ucsc,cl3,re,3,3,,,2,,,18,,6,,,,,,,4,,,,,,,,,,,,,,2,,,,,,,2,,,,,7,,,,,,,,,9,
ucsc,cl3,re,3,4,,,1,,,4,7,7,,,,,,,17,,,,,,1,,,,,,,,,,,,,,,5,,4,,,1,,,,,,,,,10,
ucsc,cl3,sd,1,1,,2,1,,,18,1,1,1,,,,,,,,1,,,,,,,,,,,,3,,,,,,,7,,1,,,6,,,,,,,,,14,
ucsc,cl3,sd,1,2,,,,,,19,1,,,,,,,3,,,4,,,,,,,,,,,,,,,,,,1,4,,,,,2,,,,,,,,,7,
ucsc,cl3,sd,1,3,,,,,,21,,1,2,,1,,,,,,,,,,1,,,,,,,,,,,,,,,2,,2,,,4,,,,,,,,,8,
ucsc,cl3,sd,1,4,,,3,,,3,,,1,,,,,,16,,,,,,2,,,,,,,,,,,,,,1,2,,,,,3,,,,,,,,,6,
ucsc,cl3,sd,2,1,,,,,,14,,,1,,,,,,2,,,,,,1,,,,,,,,5,,,,,,,6,,3,,,1,,,1,,,,,,11,
ucsc,cl3,sd,2,2,,1,3,,,,,,2,,,,,3,14,,,,,,1,,,,,,,,1,,,,,,,1,,1,,,1,,,,,,,,,3,
ucsc,cl3,sd,2,3,,3,4,,,10,,,,,,,,,4,,,,,,,,,,,,,,1,,,,,,,1,,1,,,2,,,6,,,,,,10,
ucsc,cl3,sd,2,4,,1,,,,13,,,1,,,,,,7,,,,,,,,,,,,,,5,,,,,,,4,,1,,,4,,,,,,,,,9,
ucsc,cl3,sd,3,1,,,4,,,6,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,
ucsc,cl3,sd,3,2,,1,5,,,1,,,1,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
