family,common family name,letter code_4,letter code_6,SCIENTIFIC NAME,GENUS,SPECIES,SUBSPECIES/VARIETY,SYNONYM,NewCode,COMMON NAME,sink,salt,grass,desert,juniper,oak,seep,form,soda,central,western,mountain,elkhorn,teblor,flowering months,flower color,native?,gkr prefer?,reference code,comments,newform
BRASSICACEAE,MUSTARD FAMILY,gule,guilem,Guillenia lemmonii (Thelypodium l.),Guillenia,lemmonii,,Thelypodium lemmonii,guilem,Lemmon's mustard,,,x,,,,,h,,x,,,,,06-Mar,p,n,,h,,nh
ASTERACEAE,SUNFLOWER FAMILY,guca,gutcal,Gutierrezia californica (G. bracteata),Gutierrezia,californica,,Gutierrezia bracteata,gutcal,"Calif. matchweed, snakeweed",,,C,C,C,,,s,,,C,,C,,10-Jul,y,n,,t,,ns
ASTERACEAE,SUNFLOWER FAMILY,hast,hazste,Hazardia stenolepis,Hazardia,stenolepis,,,hazste,sawtooth goldenbush,,,,,x,x,,s,,,,x,,x,11-Jan,y,n,,h,,ns
ASTERACEAE,SUNFLOWER FAMILY,hean,helann,Helianthus annuus,Helianthus,annuus,,,helann,sunflower,,,C,,,,,h,,C,,,,,10-Jul,y,n,,t,,nh
BORAGINACEAE,BORAGE FAMILY,hecu,helcur,Heliotropium curassavicum,Heliotropium,curassavicum,,,helcur,heliotrope,x,x,x,x,,,,h,x,x,x,,x,,10-Mar,w,n,,t,,nh
ASTERACEAE,SUNFLOWER FAMILY,hefi,hemfit,Hemizonia fitchii,Hemizonia,fitchii,,,hemfit,"tarplant, spikeweed",,,x,,,,,h,,x,,,,,11-May,y,n,,h,,nh
ASTERACEAE,SUNFLOWER FAMILY,hepa,hempal,Hemizonia pallida*,Hemizonia,pallida,,,hempal,Kern tarplant. uncommon,,,x,x,,,,h,,,x,,x,,09-Jun,y,n,,t,,nh
ASTERACEAE,SUNFLOWER FAMILY,hepe,hempen,Hemizonia pentactis,Hemizonia,pentactis,,,hempen,Salinas River tarplant,,,x,,,,,h,,x,,,,,10-May,y,n,,h,,nh
ASTERACEAE,SUNFLOWER FAMILY,hepu,hempun,Hemizonia pungens,Hemizonia,pungens,,,hempun,common spikeweed,,,C,,,,,h,,C,,,,,09-Jun,y,n,,t,,nh
CARYOPHYLLACEAE,PINK FAMILY,hehi,herhir,Herniaria hirsuta ssp cineria,Herniaria,hirsuta,cineria,,herhir,gray herniaria,,,x,,,,,h,,x,,,,,09-Apr,w,i,,c,,ih
ASTERACEAE,SUNFLOWER FAMILY,hese,hetses,Heterotheca sessiliflora,Heterotheca,sessiliflora,,,hetses,,,,,,,,,np,,,,,,,,,n,,"b,dk",,np
BRASSICACEAE,MUSTARD FAMILY,heun,hetuni,Heterodraba unilateralis,Heterodraba,unilateralis,,,hetuni,hairy fringe-pod,,,,x,,,,h,,,,,,x,04-Mar,w,n,,t,,nh
BRASSICACEAE,MUSTARD FAMILY,hiin,hirinc,Hirschfeldia incana,Hirschfeldia,incana,,,hirinc,winter mustard,,,x,,,,,h,,x,,,,,10-May,y,i,,t,,ih
POLYGONACEAE,BUCKWHEAT FAMILY,hola,hollan,Hollisteria lanata*,Hollisteria,lanata,,,hollan,hollisteria,,,C,C,x,,,h,,x,C,,C,,06-Apr,y,n,,h,,nh
POACEAE (GRAMINEAE),GRASS FAMILY,homule,homule,Hordeum murinum ssp leporinum,Hordeum,murinum,leporinum,,homule,farmer's foxtail,C,C,C,C,x,,,a,C,C,C,C,C,C,06-Apr,,i,,t,,ia
POACEAE (GRAMINEAE),GRASS FAMILY,hode,hordep,Hordeum depressum,Hordeum,depressum,,,hordep,low barley,,x,,,,,,a,,x,,,,,05-Apr,,n,,t,,na
POACEAE (GRAMINEAE),GRASS FAMILY,hosp,hordsp,Hordeum sp.,Hordeum,sp.,,,hordsp,barley. many v as crops,,,x,,,,,a,,x,,,,,06-Apr,,i,,t,,ia
POACEAE (GRAMINEAE),GRASS FAMILY,homu,hormur,Hordeum murinum,Hordeum,murinum,,,hormur,barley,,,,,,,,a,,,,,,,06-Apr,,i,,n,,ia
BRASSICACEAE,MUSTARD FAMILY,hupr,hutpro,Hutchinsia procumbens,Hutchinsia,procumbens,,,hutpro,meadow mustard,x,x,,x,,,,h,x,,,,,,04-Mar,w,n,,t,,nh
ASTERACEAE,SUNFLOWER FAMILY,hysa,hymsal,Hymenoclea salsola,Hymenoclea,salsola,,,hymsal,"burrobush, cheesebush",,,,C,,,,s,,,C,,C,C,06-Apr,w,n,,t,,ns
ASTERACEAE,SUNFLOWER FAMILY,isac,isoacr,Isocoma acradenia v bracteosa,Isocoma,acradenia,bracteosa,,isoacr,alkali goldenbush,C,C,C,C,,,,s,C,x,C,,C,,11-Aug,y,n,,t,,ns
CAPPARACEAE,CAPER FAMILY,isar,isoarb,Isomeris arborea,Isomeris,arborea,,,isoarb,bladderpod,,,,C,,,,s,,,C,,C,C,all,y,n,,t,,ns
JUGLANDACEAE,,jucahi,jugcal,Juglans californica v hindsii,Juglans,californica,hindsii,,jugcal,,,,,,,,,nt,,,,,,,,,n,,"b,k",,nt
JUNCACEAE,RUSH FAMILY,juba,junbal,Juncus balticus,Juncus,balticus,,,junbal,Baltic rush,,,,,,,x,p,,,,,,x,09-Apr,,n,,t,,np
JUNCACEAE,RUSH FAMILY,jubu,junbuf,Juncus bufonius,Juncus,bufonius,,,junbuf,toad rush,,,,,,,x,h,,,,,,,09-Apr,,n,,n,,nh
CUPRESSACEAE,CYPRESS FAMILY,juca,juncal,Juniperus californica,Juniperus,californica,,,juncal,California juniper,,,x,C,C,C,,s,,x,C,C,C,C,03-Jan,,n,,t,,ns
JUNCACEAE,RUSH FAMILY,jume,junmex,Juncus mexicanus,Juncus,mexicanus,,,junmex,,,,,,,,,npg,,,,,,,,,n,,b,,npg
JUNCACEAE,RUSH FAMILY,jute,juntex,Juncus textilis,Juncus,textilis,,,juntex,,,,,,,,,npg,,,,,,,,,n,,"b,dk",,npg
JUNCACEAE,RUSH FAMILY,juxi,junxip,Juncus xiphioides,Juncus,xiphioides,,,junxip,,,,,,,,,npg,,,,,,,,,n,,"b,f",,npg
SAPINDACEAE,,kopa,koepan,Koelreuteria paniculata,Koelreuteria,paniculata,,,koepan,,,,,,,,,it,,,,,,,,,i,,v,,it
CHENOPODIACEAE,GOOSEFOOT FAMILY,krla,kralan,Krascheninnikovia lanata (Ceratoides l.),Krascheninnikovia,lanata,,Ceratoides lanata,kralan,winterfat,,,,C,C,,,s,,,C,,C,C,06-Mar,,n,,h,,ns
ASTERACEAE,SUNFLOWER FAMILY,lase,lacser,Lactuca serriola,Lactuca,serriola,,,lacser,prickly lettuce,,,C,,,,,h,,C,,,,,09-May,y,i,,t,,ih
ASTERACEAE,SUNFLOWER FAMILY,lara,lagram,Lagophylla ramosissima,Lagophylla,ramosissima,,,lagram,common hareleaf,,,C,C,x,,,h,,C,C,,C,,10-May,y,n,,t,,nh
POACEAE (GRAMINEAE),GRASS FAMILY,laau,lamaur,Lamarckia aurea,Lamarckia,aurea,,,lamaur,,,,,,,,,ia,,,,,,,,,i,,b,,ia
ASTERACEAE,SUNFLOWER FAMILY,laca,lascal,Lasthenia californica (L. chrysotoma),Lasthenia,californica,,Lasthenia chrysotoma,lascal,goldfields,C,C,C,C,C,,,h,C,C,C,,C,,05-Mar,y,n,y,h,,nh
POLYGONACEAE,BUCKWHEAT FAMILY,laco,lascor,Lastarriaea coriacea (Chorizanthe c.),Lastarriaea,coriacea,,Chorizanthe coriacea,lascor,,,,,x,,,,h,,,,,,x,06-Apr,,n,,t,,nh
ASTERACEAE,SUNFLOWER FAMILY,lade,lasdeb,Lasthenia debilis,Lasthenia,debilis,,,lasdeb,goldfields,x,x,,,,,,h,x,x,,,,,05-Mar,y,n,,h,,nh
ASTERACEAE,SUNFLOWER FAMILY,lafe,lasfer,Lasthenia ferrisiae,Lasthenia,ferrisiae,,,lasfer,goldfields,x,x,,,,,,h,x,,,,,,06-Feb,y,n,,h,,nh
ASTERACEAE,SUNFLOWER FAMILY,lafr,lasfre,Lasthenia fremontii,Lasthenia,fremontii,,,lasfre,goldfields,x,x,,,,,,h,x,,,,,,05-Mar,y,n,,h,,nh
ASTERACEAE,SUNFLOWER FAMILY,laglco,lasgla,Lasthenia glabrata ssp coulteri,Lasthenia,glabrata,coulteri,,lasgla,,,,,,,,,nh,,,,,,,,,n,,cs,,nh
ASTERACEAE,SUNFLOWER FAMILY,lami1,lasmic,Lasthenia microglossa,Lasthenia,microglossa,,,lasmic,,,,,,,,,nh,,,,,,,,,n,,"b,dk",,nh
ASTERACEAE,SUNFLOWER FAMILY,lami2,lasmin,Lasthenia minor,Lasthenia,minor,,,lasmin,goldfields,,,x,,,,,h,,x,,,,,04-Mar,y,n,y,h,,nh
ASTERACEAE,SUNFLOWER FAMILY,lasth,lasthe,Lasthenia sp.,Lasthenia,sp.,,,lasthe,goldfields,,,,,,,,h,,,,,,,,,n,,,,nh
ASTERACEAE,SUNFLOWER FAMILY,lagl,laygla,Layia glandulosa,Layia,glandulosa,,,laygla,,,,,,,x,,h,,,,x,,,05-Apr,y,n,,h,,nh
ASTERACEAE,SUNFLOWER FAMILY,lahe,layhet,Layia heterotricha*,Layia,heterotricha,,,layhet,pale-yellow layia. rare,,,,,,,,h,,,,,,,06-Mar,w,n,,h,,nh
ASTERACEAE,SUNFLOWER FAMILY,lamu,laymun,Layia munzii*,Layia,munzii,,,laymun,Munz's tidy tips. uncommon,C,C,x,,,,,h,C,x,,,,,04-Mar,y,n,,t,,nh
ASTERACEAE,SUNFLOWER FAMILY,lape,laypen,Layia pentachaeta ssp albida,Layia,pentachaeta,albida,,laypen,tidy tips,x,x,x,,,,,h,x,x,,,,,04-Mar,y,n,,t,,nh
ASTERACEAE,SUNFLOWER FAMILY,lapl,laypla,Layia platyglossa,Layia,platyglossa,,,laypla,tidy tips,C,C,x,,,,,h,C,x,,,,,06-Feb,y,n,,t,,nh
BRASSICACEAE,MUSTARD FAMILY,lediva,lediva,Lepidium dictyotum vacutidens,Lepidium,dictyotum,acutidens,,lediva,sharp-toothed peppergrass,x,x,,,,,,h,x,,,,,,05-Mar,w,n,,t,,nh
BRASSICACEAE,MUSTARD FAMILY,ledi,lepdic,Lepidium dictyotum,Lepidium,dictyotum,,,lepdic,alkali peppergrass,C,C,C,,,,,h,C,C,C,,C,,05-Apr,w,n,,t,,nh
BRASSICACEAE,MUSTARD FAMILY,leja,lepjar,Lepidium jaredii*,Lepidium,jaredii,,,lepjar,Jared's peppergrass. rare,C,C,x,,,,,h,C,x,x,,,,05-Apr,y,n,,t,,nh
BRASSICACEAE,MUSTARD FAMILY,lela,leplas,Lepidium lasiocarpum vlasiocarpum,Lepidium,lasiocarpum,lasiocarpum,,leplas,peppergrass,,,x,,,,,h,,x,,,,,03-Feb,w,n,,h,,nh
BRASSICACEAE,MUSTARD FAMILY,leni,lepnit,Lepidium nitidum,Lepidium,nitidum,,,lepnit,common peppergrass,C,C,C,C,C,,,h,C,C,C,,C,,04-Feb,w,n,y,t,,nh
ASTERACEAE,SUNFLOWER FAMILY,lesq,lepsqu,Lepidospartum squamatum,Lepidospartum,squamatum,,,lepsqu,scale-broom,,,,C,C,,,s,,,C,,,x,10-Aug,y,n,,t,,ns
ASTERACEAE,SUNFLOWER FAMILY,lefi,lesfil,Lessingia filaginifolia (Corethrogyne f.),Lessingia,filaginifolia,,Corethrogyne filaginifolia,lesfil,California aster,,,,C,x,,,s,,,C,,x,C,08-May,py,n,,t,,ns
ASTERACEAE,SUNFLOWER FAMILY,legl,lesgla,Lessingia glandulifera (L. germanorum),Lessingia,glandulifera,,Lessingia germanorum,lesgla,,,,C,,,,,h,,C,x,,,,11-May,y,n,,h,,nh
ASTERACEAE,SUNFLOWER FAMILY,lele,leslem,Lessingia lemmonii v lemmonii,Lessingia,lemmonii,lemmonii,,leslem,,,,,,,,,h,,,,x,,,,,n,,h,,nh
ASTERACEAE,SUNFLOWER FAMILY,lete,lesten,Lessingia tenuis,Lessingia,tenuis,,,lesten,spring lessingia,,,x,,,,,h,,x,,,,,07-May,y,n,,h,,nh
POACEAE (GRAMINEAE),GRASS FAMILY,letr,leytri,Leymus triticoides (Elymus t.),Leymus,triticoides,,Elymus triticoides,leytri,alkali wildrye,,C,,C,x,,,pg,C,,C,,,,08-May,,n,,t,,npg
POLEMONIACEAE,PHLOC FAMILY,liau,linaur,Linanthus aureus ssp decorus,Linanthus,aureus,decorus,,linaur,,,,,x,,,,h,,,,,x,,07-Mar,w,n,,k,,nh
POLEMONIACEAE,PHLOC FAMILY,libi1,linbic,Linanthus bicolor,Linanthus,bicolor,,,linbic,,,,,,,,,nh,,,,,,,,,n,,h,,nh
POLEMONIACEAE,PHLOC FAMILY,libi2,linbig,Linanthus bigelovii,Linanthus,bigelovii,,,linbig,Bigelow's linanthus,,,x,,,,,h,,x,,,,,05-Mar,w,n,,h,,nh
POLEMONIACEAE,PHLOC FAMILY,lidi,lindic,Linanthus dichotomus,Linanthus,dichotomus,,,lindic,evening snow,,,C,C,x,,,h,,,C,,x,,06-Mar,w,n,,t,,nh
POLEMONIACEAE,PHLOC FAMILY,lili,linlin,Linanthus liniflorus,Linanthus,liniflorus,,,linlin,flax-flowered linanthus,,x,C,C,C,x,,h,x,C,C,,C,,07-May,w,n,,t,,nh
POLEMONIACEAE,PHLOC FAMILY,lipa,linpar,Linanthus parviflorus,Linanthus,parviflorus,,,linpar,,,,,x,,,,h,,,,,,x,05-Apr,w,n,,t,,nh
SAXIFRAGACEAE,,licy,litcym,Lithophragma cymbilaria,Lithophragma,cymbilaria,,,litcym,,,,,,,,,np,,,,,,,,,n,,"b,dk",,np
POLEMONIACEAE,PHLOC FAMILY,losc1,loesch,Loeseliastrum schotti (Langloisia s.),Loeseliastrum,schotti,,Langloisia schotti,loesch,,,,,,,,,h,,,,,x,x,06-Mar,,n,,h,,nh
CARYOPHYLLACEAE,PINK FAMILY,losq,loesqu,Loeflingia squarrosa,Loeflingia,squarrosa,,,loesqu,,,,,,,,,nh,,,,,,,,,n,,cs,,nh
POACEAE (GRAMINEAE),GRASS FAMILY,lomu,lolmul,Lolium multiflorum,Lolium,multiflorum,,,lolmul,,,,,,,,,ipg,,,,,,,,,i,,s,,ipg
POACEAE (GRAMINEAE),GRASS FAMILY,lope,lolper,Lolium perenne,Lolium,perenne,,,lolper,,,,,,,,,ipg,,,,,,,,,i,,b,,ipg
APIACEAE,CARROT FAMILY,loma,lomati,Lomatium sp.,Lomatium,sp.,,,lomati,wild parsley,,x,C,,,,,h,,C,C,,C,,06-Feb,y,n,,t,,
APIACEAE,CARROT FAMILY,loca,lomcar,Lomatium caruifolium,Lomatium,caruifolium,,,lomcar,biscuitroot,,,x,,,,,h,,x,,,,,04-Mar,y,n,,t,,nh
APIACEAE,CARROT FAMILY,lomo,lommoh,Lomatium mohavense,Lomatium,mohavense,,,lommoh,,,,,,,,,h,,,,x,,,,,n,,h,,nh
APIACEAE,CARROT FAMILY,lout,lomutr,Lomatium utriculatum,Lomatium,utriculatum,,,lomutr,wild parsley,,x,C,,,,,h,,C,C,,C,,06-Feb,y,n,,t,,nh
CAPRIFOLIACEAE,HONEYSUCKLE FAMILY,losu,lonsub,Lonicera subspicata,Lonicera,subspicata,,,lonsub,honeysuckle,,,,,x,x,,v,,,x,x,,,08-Mar,y,n,,h,,nv
FABACEAE,LEGUME FAMILY (PEA FAMILY),lohu,lothum,Lotus humistratus,Lotus,humistratus,,,lothum,hill lotus,,,,x,,,,h,,,x,,,,07-Feb,y,n,,t,,nh
FABACEAE,LEGUME FAMILY (PEA FAMILY),losa,lotsal,Lotus salsuginosus,Lotus,salsuginosus,,,lotsal,,,,,x,,,,h,,,,,,x,06-Mar,w,n,,h,,nh
FABACEAE,LEGUME FAMILY (PEA FAMILY),losc2,lotsco,Lotus scoparius,Lotus,scoparius,,,lotsco,"Calif. broom, deerweed",,,,x,,,,s,,,,,,x,11-Mar,y,n,,t,,ns
FABACEAE,LEGUME FAMILY (PEA FAMILY),lost,lotstr,Lotus strigosus,Lotus,strigosus,,,lotstr,,,,,,,,,h,,,,,x,,,,n,,h,,nh
FABACEAE,LEGUME FAMILY (PEA FAMILY),lowr,lotwra,Lotus wrangelianus,Lotus,wrangelianus,,,acmwra,calf lotus,,x,C,C,x,,,h,x,C,C,,,C,06-Mar,y,n,,t,,nh
FABACEAE,LEGUME FAMILY (PEA FAMILY),lumiho,lumiho,Lupinus microcarpus v horizontalis,Lupinus,microcarpus,horizontalis,,lumiho,chick lupine,,C,C,C,x,,,h,,C,C,,x,,05-Mar,p,n,,h,,nh
FABACEAE,LEGUME FAMILY (PEA FAMILY),lumimi,lumimi,Lupinus microcarpus v microcarpus (L. ruber),Lupinus,microcarpus,microcarpus,Lupinus ruber,lumimi,chick lupine,,,x,,,,,h,,,,,,x,06-Mar,p,n,,t,,nh
FABACEAE,LEGUME FAMILY (PEA FAMILY),lual,lupalb,Lupinus albifrons,Lupinus,albifrons,,,lupalb,silver bush lupine,,,,C,C,,,s,,,C,,x,,06-Mar,p,n,,t,,ns
FABACEAE,LEGUME FAMILY (PEA FAMILY),lubi,lupbic,Lupinus bicolor,Lupinus,bicolor,,,lupbic,miniature lupine,,,x,x,,,,h,,,,,x,,05-Mar,b,n,,t,,nh
FABACEAE,LEGUME FAMILY (PEA FAMILY),lumi,lupmic,Lupinus microcarpus,Lupinus,microcarpus,,,lupmic,,,C,C,C,x,,,h,,C,C,,x,,05-Mar,p,n,,h,,nh
FABACEAE,LEGUME FAMILY (PEA FAMILY),luna,lupnan,Lupinus nanus,Lupinus,nanus,,,lupnan,sky lupine,,,x,,,,,h,,,,,x,,05-Feb,b,n,,t,,nh
FABACEAE,LEGUME FAMILY (PEA FAMILY),lusu,lupsuc,Lupinus succulentus,Lupinus,succulentus,,,lupsuc,arroyo lupine,,,,,,,,h,,,,,,,05-Feb,,n,,m,,nh
SOLANACEAE,NIGHTSHADE FAMILY,lyan,lycand,Lycium andersonii,Lycium,andersonii,,,lycand,box thorn,,,,x,,,,s,,,,,x,,05-Mar,w,n,,h,,ns
MORACEAE,MULBERRY FAMILY,mapo,macpom,Maclura pomiferaro,Maclura,pomiferaro,,,macpom,osage orange,,,,,,,,t,,,,,,,,,i,,v,,it
ASTERACEAE,SUNFLOWER FAMILY,mael,madele,Madia elegans,Madia,elegans,,,madele,common madia,,,x,,,,,h,,x,,,,,06-May,y,n,,h,,nh
,,madia,madisp,Madia sp.,Madia,sp.,,,madisp,,,,,,,,,h,,,,,,,,,n,,,,nh
ASTERACEAE,SUNFLOWER FAMILY,maca,malcal,Malacothrix californica,Malacothrix,californica,,,malcal,wild marigold,,,x,,,,,h,,x,,,,,06-Apr,y,n,,t,,nh
ASTERACEAE,SUNFLOWER FAMILY,maco,malcou,Malacothrix coulteri,Malacothrix,coulteri,,,malcou,snake's-head,,x,C,C,,,,h,,x,C,,C,,05-Mar,y,n,,t,,nh
ASTERACEAE,SUNFLOWER FAMILY,magl,malgla,Malacothrix glabrata,Malacothrix,glabrata,,,malgla,desert dandelion,,,x,x,,,,h,,,x,,,,05-Apr,y,n,,t,,nh
MALVACEAE,MALLOW FAMILY,male,mallep,Malvella leprosa,Malvella,leprosa,,,mallep,alkali-mallow,,,x,,,,,h,,,x,,,,10-May,w,n,,c,,nh
MALVACEAE,MALLOW FAMILY,mapa,malpar,Malva parviflora,Malva,parviflora,,,malpar,cheeseweed,,,x,,,,,h,,x,,,,,all,w,i,,h,,ih
CUCURBITACEAE,GOURD FAMILY,mafa,marfab,Marah fabaceus,Marah,fabaceus,,,marfab,California man-root,,,,C,C,x,,v,,,C,x,x,,06-Jan,w,n,,h,,nv
LAMIACEAE,MINT FAMILY,mavu,marvul,Marrubium vulgare,Marrubium,vulgare,,,marvul,horehound,,x,C,C,,,,p,x,C,C,,x,,09-Mar,w,i,,t,,ip
FABACEAE,LEGUME FAMILY (PEA FAMILY),mepo,medpol,Medicago polymorpha,Medicago,polymorpha,,,medpol,California burclover,,,x,,,,,h,,,x,,,,06-Mar,y,i,,t,,ih
FABACEAE,LEGUME FAMILY (PEA FAMILY),mesa,medsat,Medicago sativa,Medicago,sativa,,,medsat,,,,,,,,,ip,,,,,,,,,i,,"b,dk",,ip
MELIACEAE,,meaz,melaze,Melia azedarach,Melia,azedarach,,,melaze,,,,,,,,,is,,,,,,,,,i,,b,,is
POACEAE (GRAMINEAE),GRASS FAMILY,meca,melcal,Melica californica,Melica,californica,,,melcal,,,,,,,,,npg,,,,,,,,,n,,"b,dk",,npg
POACEAE (GRAMINEAE),GRASS FAMILY,meim,melimp,Melica imperfecta,Melica,imperfecta,,,melimp,small-flowered melic,,,,,,x,,pg,,,,,,x,07-Mar,,n,,t,,npg
FABACEAE,LEGUME FAMILY (PEA FAMILY),mein,melind,Melilotus indica,Melilotus,indica,,,melind,,,,,,,,,ih,,,,,,,,,i,,"b,dk",,ih
LOASACEAE,LOASA FAMILY,meaf,menaff,Mentzelia affinis,Mentzelia,affinis,,,menaff,blazing star,,,C,C,x,,,h,,,C,,C,,06-Mar,y,n,,t,,nh
LOASACEAE,LOASA FAMILY,meal,menalb,Mentzelia albicaulis,Mentzelia,albicaulis,,,menalb,blazing star,,,,x,,,,h,,,,x,,,06-Mar,w,n,,h,,nh
LAMIACEAE,MINT FAMILY,mear,menarv,Mentha arvensis,Mentha,arvensis,,,menarv,mint,,,,,,,x,h,,,,,,,10-Jul,w,i,,c,,ih
LOASACEAE,LOASA FAMILY,medi,mendis,Mentzelia dispersa,Mentzelia,dispersa,,,mendis,blazing star,,,x,,,,,h,,x,,,,,07-May,y,n,,t,,nh
LOASACEAE,LOASA FAMILY,megr,mengra,Mentzelia gracilenta,Mentzelia,gracilenta,,,mengra,blazing star,,,,,,x,,h,,,,x,,,06-May,y,n,,h,,nh
LOASACEAE,LOASA FAMILY,mepe,menpec,Mentzelia pectinata,Mentzelia,pectinata,,,menpec,San Joaquin blazing star,,,x,,,,,h,,x,,,,,04-Jan,o,n,,t,,nh
ASTERACEAE,SUNFLOWER FAMILY,mica1,miccal,Micropus californicus v calif.,Micropus,californicus,californicus,,miccal,,,,,,,,,nh,,,,,,,,,n,,f,,nh
ASTERACEAE,SUNFLOWER FAMILY,mica2,miccam,Microseris campestris,Microseris,campestris,,,miccam,,,,x,,,,,h,,,,,x,,05-Apr,wy,n,,t,,nh
ASTERACEAE,SUNFLOWER FAMILY,mido1,micdou,Microseris douglasii,Microseris,douglasii,,,micdou,Douglas's microseris,,,x,,,,,h,,,,,x,,06-Mar,wy,n,,t,,nh
ASTERACEAE,SUNFLOWER FAMILY,miel,micele,Microseris elegans,Microseris,elegans,,,micele,,,,x,,,,,h,,x,,,,,05-Mar,y,n,,t,,nh
ASTERACEAE,SUNFLOWER FAMILY,micro,micros,Microseris sp.,Microseris,sp.,,,micros,,,,,,,,,h,,,,,,,,,n,,,,nh
SCROPHULARIACEAE,FIGWORT FAMILY,migu,mimgut,Mimulus guttatus,Mimulus,guttatus,,,mimgut,common monkeyflower,,,,,,,x,h,,,,,,,10-Mar,y,n,,t,,nh
CARYOPHYLLACEAE,PINK FAMILY,mido2,mindou,Minuartia douglasii,Minuartia,douglasii,,,mindou,,,,,,,,,nh,,,,,,,,,n,,f,,nh
NYCTAGINACEAE,FOUR O'CLOCK FAMILY,mica3,mircal,Mirabilis californica,Mirabilis,californica,,,mircal,wishbone bush,,,,x,,,,s,,,,,x,,07-Jan,p,n,,h,,ns
NYCTAGINACEAE,FOUR O'CLOCK FAMILY,mimu,mirmul,Mirabilis multiflora,Mirabilis,multiflora,,,mirmul,giant four o'clock,,,,x,,,,s,,,,,x,,06-Jan,p,n,,h,,ns
LAMIACEAE,MINT FAMILY,mobr,monbre,Monardella breweri,Monardella,breweri,,,monbre,,,,,,,,,h,,,,x,,,,,n,,h,,nh
ASTERACEAE,SUNFLOWER FAMILY,leco,moncon,Monolopia congdonii*,Monolopia,congdonii,,,moncon,San Joaquin woolly threads Listed endangered (U.S.),,,C,x,,,,h,,C,x,,C,,04-Feb,y,n,,t,was Lembertia congdonii,nh
ASTERACEAE,SUNFLOWER FAMILY,mola,monlan,Monolopia lanceolata,Monolopia,lanceolata,,,monlan,hillside daisy,,C,C,C,x,,,h,C,C,C,C,C,C,05-Mar,y,n,,t,,nh
CHENOPODIACEAE,GOOSEFOOT FAMILY,monu,monnut,Monolepis nuttalliana,Monolepis,nuttalliana,,,monnut,poverty weed,x,,,,,,,h,x,,,,,,06-Mar,,n,,h,,nh
ASTERACEAE,SUNFLOWER FAMILY,most,monstr,Monolopia stricta,Monolopia,stricta,,,monstr,woolly hilltop daisy,x,x,x,,,,,h,,,x,,,x,04-Mar,y,n,,t,,nh
Moss,Moss,Moss,Moss,,,,,,Moss,Moss,,,,,,,,,,,,,,,,,,,,,
POLYGONACEAE,BUCKWHEAT FAMILY,mupe,mucper,Mucronea perfoliata (Chorizanthe p.),Mucronea,perfoliata,,Chorizanthe perfoliata,mucper,perfoliate spineflower,,,,x,,,,h,,,,,,x,07-May,p,n,,t,,nh
LILIACEAE (AMARYLLIDACEAE),LILY FAMILY,muma,muimar,Muilla maritima,Muilla,maritima,,,muimar,,,,,,,,,p,,,,,,,06-Mar,,n,,n,,np
RANUNCULACEAE,BUTTERCUP FAMILY,mymi,myomin,Myosurus minimus,Myosurus,minimus,,,myomin,mousetail,x,,,,,,,h,x,,,,,,04-Mar,w,n,,h,,nh
HYDROPHYLLACEAE,WATERLEAF FAMILY,naca,namcal,Nama californicum (Lemmonia c.),Nama,californicum,,Lemmonia californicum,namcal,purple mat,,,,,,,,h,,,,x,,,,,n,,h,,nh
POACEAE (GRAMINEAE),GRASS FAMILY,nace,nascer,Nasella cernua (Stipa c.),Nasella,cernua,,Stipa cernua,nascer,nodding needlegrass,,,x,C,x,x,,pg,,,C,,x,C,07-Apr,,n,,t,,npg
POACEAE (GRAMINEAE),GRASS FAMILY,napu,naspul,Nasella pulchra (Stipa p.),Nasella,pulchra,,Stipa pulchra,naspul,purple needlegrass,,,,x,,,,pg,,,x,,,,05-Mar,,n,,k,,npg
POLEMONIACEAE,PHLOC FAMILY,naat,navatr,Navarretia atractyloides,Navarretia,atractyloides,,,navatr,holly-leaved navarretia,,,,x,,,,h,,,x,,,,07-May,p,n,,h,,nh
POLEMONIACEAE,PHLOC FAMILY,naja,navjar,Navarretia jaredii (N. mitracarpa),Navarretia,jaredii,,Navarretia mitracarpa,navjar,Paso Robles navarretia,,,,x,,,,h,,,,,,x,06-May,b,n,,t,,nh
HYDROPHYLLACEAE,WATERLEAF FAMILY,neme,nemmen,Nemophila menziesii,Nemophila,menziesii,,,nemmen,baby blue-eyes,,,C,,,,,h,,C,,,,,05-Feb,b,n,,t,,nh
CAMPANULACEAE,BELLFLOWER FAMILY,netw,nemtwi,Nemacladus twisselmanii,Nemacladus,twisselmanii,,,nemtwi,,,,,,,,,nh,,,,,,,,,n,,"b,dw",,nh
SOLANACEAE,NIGHTSHADE FAMILY,nigl,nicgla,Nicotiana glauca,Nicotiana,glauca,,,nicgla,tree tobacco,,,,,,,,p,,,x,,,,09-Apr,,i,,l,,ip
SOLANACEAE,NIGHTSHADE FAMILY,niqu,nicqua,Nicotiana quadrivalvis,Nicotiana,quadrivalvis,,,nicqua,tobacco,,,,x,,,,h,,,,x,,,10-May,w,n,,h,,nh
ONAGRACEAE,EVENING PRIMROSE FAMILY,oede,oendel,Oenothera deltoides,Oenothera,deltoides,,,oendel,devil's lantern,,,,,,,,h,,,x,,,,05-Mar,w,n,,m,,nh
PAEONIACEAE,PEONY FAMILY,paca1,paecal,Paeonia californica,Paeonia,californica,,,paecal,California peony,,,,x,,,,h,,,x,,,,03-Jan,r,n,,c,,nh
