g= grass; f= forb,,,,,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,,,,,
swan,cl1,sd,3,4,,,,,,,,,8,,,,,,,,,2,,,7,,,,,,,,1,,,,,,,,,9,,,,,,,,,,,,,,12,,,,,39
swan,cl2,ll,1,1,,,,,,,,,,,,,2,,,,,4,,,6,,,,,,,,,,1,,,,,,2,5,,,,,,,,,5,,,,,14,1,,,,40
swan,cl2,ll,1,2,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,1,2,,8,,,2,,,8,4,,,,,,,,,5,,,1,,12,,,,,46
swan,cl2,ll,1,3,,,,,,,,,,,,,2,,1,,,8,,,9,,,,,,,1,,,,,,,,,1,11,,1,,,,,,,3,,,,,7,,,,,44
swan,cl2,ll,1,4,,,,,,,,,,,,,2,,,,,7,,,1,,,,,,,,3,,,,,,,,1,5,,,,,,,,,,1,,,,2,,,,,22
swan,cl2,ll,2,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,19,1,,,1,24
swan,cl2,ll,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,14,,,,,,,,,2,,,,,22,,,,,39
swan,cl2,ll,2,3,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,17,,,,,2,,,,1,,,,,15,,,,,36
swan,cl2,ll,2,4,,,,,,,,,1,,3,,,,,,,,,,1,,,,,,,,,,,1,,,,,,12,,,,,1,,,,,,,,,15,,,,,34
swan,cl2,ll,3,1,,,,,,,,,,,,,1,,,,,,,,5,,,,,,,,,,,1,,,,,,5,,,,,,,,,,,,,,11,1,,,6,30
swan,cl2,ll,3,2,,,,,,,,,,,,,2,,,,,,,,3,,,,,,,,,,,2,,,,,,2,,,,,,,,,1,,,,,24,,,,,34
swan,cl2,ll,3,3,,,,,,,,,,,,,7,,,,,,,,6,,,,,,,,,,,2,,,,,,6,,,,,,,,,1,,,,,17,,,,,39
swan,cl2,ll,3,4,,,,,,,,,,,,,1,,,,,,,,4,,,,,,,,,,,,,,,,,4,,,,,,,,,1,,,,,22,,,,,32
swan,cl2,re,1,1,,,,,,,,,,,,,1,,,,,11,,,2,,,,,,,1,5,,,,,1,,,,5,,,,,,,,,,,,,,15,,,,,41
swan,cl2,re,1,2,,,,,,,,,,,,,2,,,,,7,,,,,,,,,1,,6,,,,,,,,2,5,,2,,,,,,,,,,,,14,,,,2,41
swan,cl2,re,1,3,,,,,,1,,,,,,,5,,,,,,,,7,,,,,,,,,,,,,,,,2,3,,2,,5,,,,,,,,,,11,,,,,36
swan,cl2,re,1,4,,,,,,,,,,,,,2,,,,,2,,,5,,,,,,1,,4,,,,,,,,,,,1,,7,,,,,,,,,,14,,,,,36
swan,cl2,re,2,1,,,,,,,,,,,6,,1,,2,,,,,,2,,,,,,,,2,,1,,,,,,4,2,,,,,,,,,1,,,,,16,,,,,37
swan,cl2,re,2,2,,,,,1,,,,1,,4,,1,,,,,,,,2,,,,,,,,2,,,,,,,,1,3,,,,,,,,,3,,,,,7,,,,,25
swan,cl2,re,2,3,,,,,,,,,1,,2,,2,,1,,,,,,,1,,,,,,1,1,,,,,,,,,5,,,,,,,,,,,,,,16,,,,,30
swan,cl2,re,2,4,,,,,,,,,3,,,,1,,,,,1,,,4,,,,,,,,4,,,,,2,,,1,3,,,,,,,,,,,,,,18,,,,,37
swan,cl2,re,3,1,,,,,,,,,,,,,,,,,,3,,,2,,,,,,,,,,3,,,,,,8,1,,2,,2,,,,,,,,,,14,3,,,,38
swan,cl2,re,3,2,,,,,,1,,,,,,,,,,,,6,,,6,,,,,,,,3,,,,,,,,2,1,,,,4,,,,,,,,,,14,1,,,,38
swan,cl2,re,3,3,,,,,,,,,3,,3,,1,,,,,1,,,3,,,,,,,,,,,,,,,,3,7,,,,2,,,,,,,,,,18,,,,,41
swan,cl2,re,3,4,,,,,,,,,,,1,,1,,1,,,7,,,1,,,1,,,,,1,,,1,,,,,3,4,,,,2,,,,,1,,,,,2,,,,,26
swan,cl2,sd,1,1,,,,,,,,,1,,,,1,,,,,9,,,1,,,,,,,,3,1,,,,,,,,1,,1,,,,,,,3,,,,,3,,,,2,26
swan,cl2,sd,1,2,,,,,,,,,,,,,,,3,,,8,,,2,,,,,,,,,,,,,1,,,4,3,,,,,,,,,,,,,,8,,,,,29
swan,cl2,sd,1,3,,,,,,,,,,,3,,6,,,,,2,,,5,,,,,,,1,2,,,,,,,,,7,,,,,,,,,,,,,,5,,,,,31
swan,cl2,sd,1,4,,,,,1,,,,,,,,,,,,,21,,,5,,,1,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,6,,,,,37
swan,cl2,sd,2,1,,,,,,,,,1,,,,1,,,,,,,,6,,,,,,,,1,,,,,,,,,4,,,,,,,,,,,,,,25,,,,,38
swan,cl2,sd,2,2,,,,,,,,,1,,,,2,,,,,1,,,5,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,19,,,,,31
swan,cl2,sd,2,3,,,,,,,,,4,,,,,,5,,,,,,4,,,,,,,,4,,,,,,,,,7,,,,,,,,,4,,,,,14,,,,,42
swan,cl2,sd,2,4,,,,,,,,,7,,,,1,,,,,,,,13,,,,,,,,,,,,,,,,,5,,,,,,,,,2,,,,,16,,,,,44
swan,cl2,sd,3,1,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,4,,,,,,,,,2,,,,,,,,,,,,,,12,3,,,1,30
swan,cl2,sd,3,2,,,,,,,,,,,,,,,3,,,,,,5,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,21,,,,,32
swan,cl2,sd,3,3,,,,,,,,,1,,,,,,1,1,,,,,3,,,,,,,,1,,,,,,,,,,,,,,,,,,3,,,,,23,,,,,33
swan,cl2,sd,3,4,,,,,,,,,2,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,23,,,,,33
swan,cl3,ll,1,1,,,,,,,,,,,1,,1,,,4,,3,,,5,,,,,,,1,4,,,,,6,,,1,3,,,,,,,,,4,,,1,,1,,,,,35
swan,cl3,ll,1,2,,,,,,,,,,,,,,,2,,,5,,,1,,,,,,,,6,,,,,,,,3,,,5,,,,,,,3,,,,,4,2,,,1,32
swan,cl3,ll,1,3,,,,,1,,,,,,,,1,,1,,,4,,,6,,,,,,,,,,,,,,,,3,,,,,1,,,,,2,,,,,12,,,,1,32
swan,cl3,ll,1,4,,,,,,,,,,1,,,,,,1,,16,,,1,,,,,,,2,,,,,,5,,,1,,,1,,,,,,,1,,,,,3,1,,,,33
swan,cl3,ll,2,1,,,,,,,,,,,,,3,,,,,,,,1,,,,,,,,2,,,2,,,,,,4,,,,,,,,,,,,,,12,,,,,24
swan,cl3,ll,2,2,,,,,,,,,,,,,4,,1,,,,,,13,,,,,,,,,,,1,,,,,,7,,,,,,,,,,,,,,9,,,,,35
swan,cl3,ll,2,3,,,,,,,,,,6,,,8,,,,,,,,1,,,,,,,,1,,,,,,,,,6,,,,,,,,,,,,,,6,,,,,28
swan,cl3,ll,2,4,,,,,,,,,,,,,3,,,,,1,,,,2,,,,,,,1,,,3,,,,,,8,,,,,,,,,2,,,,,12,,,,,32
swan,cl3,ll,3,1,,,1,,,,,,,,4,,5,,3,,,1,,,2,,,,,,,,2,,,,,,,,,1,,,,,,,,,17,,,,,2,,,,,38
swan,cl3,ll,3,2,,,,,,,,,6,,,,1,,4,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,16,,,,,6,,,,,35
swan,cl3,ll,3,3,,,,,,,,,1,,,,2,,,,,1,,,9,,,,,,,,1,,,,,,,,,,,,,,,,,,11,,,,,3,,,,,28
swan,cl3,ll,3,4,,,1,,,,,,1,,,,,,1,,,2,,,5,,,,,,,,1,,,,,2,,,,1,,,,,,,,,5,,,,,12,2,,,,33
swan,cl3,re,1,1,,,,,,,,,,,8,,,,1,,,,,,7,,,,,,,,1,,,,,,,,1,5,,1,,,,,,,2,,,,,5,,,,1,32
swan,cl3,re,1,2,,,,,,,,,,,,,1,,,,,3,,,2,,,,,,,,1,,,,,,,,2,4,,,,,,,,,7,,,,,1,,,,,21
swan,cl3,re,1,3,,,,,,,,,,,,,1,,1,,,2,,,4,,,,,,,,2,,,,,1,,,1,,,4,,,,,,,,,,,,4,,,,,20
swan,cl3,re,1,4,,,,,,,,,,,9,,1,,,,,,,,4,,,,1,,,,1,1,,,,1,,,2,1,,,,,,,,,7,,,,,,,,,,28
swan,cl3,re,2,1,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,7,,1,,,,,,2,,,,,,,,,,1,,,,,7,3,,,1,35
swan,cl3,re,2,2,,,,,,,,,,,,,1,,1,,,,,,3,,,,,,,,2,,,,,,,,3,,,,,,,,,,12,,,,,,5,,,,27
swan,cl3,re,2,3,,,,,,,,,,,,,,,,,,15,,,3,,,,,,,1,3,,3,,,1,,,,,,1,,1,,,,,1,,,,,,,,,,29
swan,cl3,re,2,4,,,,,,,,,,,,,1,,1,,,1,,,6,,,,,,,,1,,4,,,,,,2,,,,,1,,,,,3,,,,,1,1,,,,22
swan,cl3,re,3,1,,,,,,,,,,,,,3,,2,2,,1,,,2,,,,,,1,,5,,,,,2,,,2,,,8,,,,,,,1,,,1,,2,,,,,32
swan,cl3,re,3,2,,,,,,,,,,,1,,5,,1,,,2,,,,,,,,,,,8,,,,,2,,,,,,7,,2,,,,,3,,,,,15,,,,,46
swan,cl3,re,3,3,1,,,,,,,,4,,,,8,,,,,2,,,2,,,,,,,,2,,,,,1,,,2,2,,,,,,,,,16,,,,,13,,,,,53
swan,cl3,re,3,4,,,,,,,,,,,,,1,,,,,15,,,2,,,,,,,,1,,,,,,,,,1,,,,1,,,,,2,,,1,,1,1,,,,26
swan,cl3,sd,1,1,,,,,,,,,,,,,2,,4,,,3,,,6,,,,,,,,4,,,,,1,,,,4,,9,,,,,,,,,,,,12,,,,,45
swan,cl3,sd,1,2,,,,,,,,,,,,,1,,2,,,,,,2,,2,,,,,,8,,,,,2,,,,8,,6,,,,,,,2,,,,,15,,,,,48
swan,cl3,sd,1,3,,,,,,,,,8,,,,3,,1,,,,,,8,,1,,,,,,,,,,,,,,,11,,,,,,,,,1,,,,,3,1,,,,37
swan,cl3,sd,1,4,1,,,,,,,,,,,,,,,,,,,,6,,,,,,,,9,,1,,,1,,,2,4,,,,,,,,,3,,,,,1,1,,,,29
swan,cl3,sd,2,1,,,,,,,,,5,,1,,2,,1,,,7,,,2,,,,,,,,4,,2,,,1,,,1,3,,,,,,,,,5,,,,,9,1,,,,44
swan,cl3,sd,2,2,,,,,,,,,1,,,,,,2,,,18,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,,2,2,,,,29
swan,cl3,sd,2,3,,,,,,,,,2,,,,4,,4,,,5,,,6,,,,,,,,2,,1,,,,,,,,,9,,,,,,,3,,,1,,2,1,,,,40
swan,cl3,sd,2,4,1,,,,,,,,,,,,3,,2,,,1,,,4,,,,,,,,2,,,,,,,,,1,,,,,,,,,3,,,,,9,1,,,,27
swan,cl3,sd,3,1,,,,,,,,,,,,,2,,4,,,3,,,13,,,,,,,,1,,,,,,,,,5,,,,,,,,,4,,,,,7,,,,,39
swan,cl3,sd,3,2,,,,,,,,,,,,,,,9,,,7,,,7,,,,,,,,5,,,,,,,,,1,,,,,,,,,2,,,,,1,,,,,32
swan,cl3,sd,3,3,1,,,,,,,,,,,,1,,1,,,1,,,1,,,,,,,,,,,,,,,,,3,,,,,,,,,6,,,,,6,,,,,20
swan,cl3,sd,3,4,,,,,,,,,,,,,,,3,,,3,,,1,,,,,,,,,,,,,,,,,9,,,,,,,,,8,,,,,1,,,,,25
swan,con,no,1,1,,,,,,,,,1,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,9,,,,,1,1,,,12,,,,,12,,,,,39
swan,con,no,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,6,,,,,11,,,,7,33
swan,con,no,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,8,,,,,23,,,,2,38
swan,con,no,1,4,,,,,,,,,,,,,2,,,,,1,,,3,,,,,,,,,,,,,,,,,11,,,,,,,,,7,,,,,13,,,,1,38
swan,con,no,2,1,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,16,,,,,,,,,16,,,,,21,,,,,64
swan,con,no,2,2,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,1,17,,,,,,,,,1,,,,,18,,,,,42
swan,con,no,2,3,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,12,,,,,,,,,4,,,,,19,,,,3,39
swan,con,no,2,4,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,13,,,,,,,,,3,,,,,19,,,,2,45
swan,con,no,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,1,,,,,6,,,,13,28
swan,con,no,3,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,2,,,,,16,,,,2,36
swan,con,no,3,3,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,13,,,,,,,,,1,,,,,19,,,,,34
swan,con,no,3,4,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,14,,,,,,,,,1,,,,,12,,,,6,34
swan,gra,no,1,1,,,,,,,,,,,,,1,,,,,4,,,,,,,,,,,1,,,,,,,,7,2,,3,,,,,,,4,,,1,,8,,,,,31
swan,gra,no,1,2,,,,,,,,,,,,,2,,,,,6,,,,,,,,,,,,,1,,,1,,,4,,,3,,,,,,,4,,,,,4,3,,,,28
swan,gra,no,1,3,,,,,,,,,,,,,1,,2,,,3,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,5,,,,,2,1,,,,27
swan,gra,no,1,4,,,,,,,,,,,,,,,1,,,8,,,,,,,,,,,,,,,,,,,2,1,,1,,,,,,,2,,,,,1,1,,,,17
swan,gra,no,2,1,,,,,,,,,,,,,,,,,,8,,,,,,,,,,1,2,,,,,,,,,2,,,,,,,,,,,,,,19,,,,,32
swan,gra,no,2,2,,,,,,,,,,1,,,,,,,,3,,,,,,,,,,1,3,,,,,,,,,,,1,,,,,,,2,,,,,15,7,,,,33
swan,gra,no,2,3,,,,,,,,,,,,,,,,,,9,,,,,,,,,1,3,5,,,,,,,,,2,,,,2,,,,,,,,,,2,,,,,24
swan,gra,no,2,4,,,,,,,,,,,,,2,,,,,5,,,,,,,,,,1,,,,,,,,,,,,5,,,,,,,1,,,1,,8,5,,,,28
swan,gra,no,3,1,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,11,,,,,,,,,,5,,,,,,7,,,1,27
swan,gra,no,3,2,,,,,,,,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,17,,,,,,,,,,6,,,,,6,,,,,32
swan,gra,no,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,15,,,,,,,,,,11,,,,,,2,,,,29
swan,gra,no,3,4,,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,18,,,,,,,,,,6,,,,,,,,,,27
ucsc,cl1,ll,1,1,1,,,,,,,,9,3,,,,,,,,2,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,5,,,,,,4,,1,1,31
ucsc,cl1,ll,1,2,1,,,,,,,,3,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,8
ucsc,cl1,ll,1,3,1,,,,,,,,,1,,,,,,,,17,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,1,1,,27
ucsc,cl1,ll,1,4,,,,,,,,,3,1,,,,,1,,,14,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,1,,,1,24
ucsc,cl1,ll,2,1,1,11,,,,,,,,,,4,1,,,,,,,,3,,,,,,,,,,,,17,,,,,,,,,,,,,,1,,,,,2,,,,,40
ucsc,cl1,ll,2,2,1,,,,,,,,7,1,,2,1,,,,,2,,,2,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,5,1,,,,38
ucsc,cl1,ll,2,3,1,,,,,,,,5,,,3,,,,,,4,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,15,,,,,47
ucsc,cl1,ll,2,4,,,,,,,,,2,,,7,3,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,4,,,,,1,,,,,36
ucsc,cl1,ll,3,1,,,,,,,,,3,,,3,,,,,,,,,,,,,,,,,,,,,23,,,,,2,,,,,,,,,1,,,,,8,1,,,,41
ucsc,cl1,ll,3,2,,,,,,,,,8,,,2,,,,,,,,,,,,,,,,,,,,3,16,,,,,1,,,,,,,,,5,,,,,4,,,,,39
ucsc,cl1,ll,3,3,,,,,,,,,5,,,1,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,3,,,,,,1,,,,31
ucsc,cl1,ll,3,4,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,1,,,,,2,,,,1,31
ucsc,cl1,re,1,1,6,,,,,,,,1,4,,,,,,,,11,,,2,,,,,,,,,,,,4,,,,,,,,,,,,,,2,,,,,3,,,,,33
ucsc,cl1,re,1,2,4,4,,,,,,,2,2,1,,,,,,,16,,,3,,,,,,,,1,,,,7,,,,,3,,,,,,,,,9,,,,,1,1,,,,54
ucsc,cl1,re,1,3,1,,,,,,,,4,2,1,,,,,,,18,,,,,,,,,1,,1,,,,8,,,,,,,,,,,,,,1,,,,,3,,,,,40
ucsc,cl1,re,1,4,,,,,,,,,2,,,,,,,,,15,,,1,,,,,,1,,,,,,5,,,,,,,,,,,,,,1,,,,,2,3,,,,30
ucsc,cl1,re,2,1,1,,,,,,,,9,1,,,1,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,4,,,,2,35
ucsc,cl1,re,2,2,1,,,,,,,,8,1,,,1,,,,,2,,,2,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,2,,,,,35
ucsc,cl1,re,2,3,3,,,,,,,,6,2,,,,,,,,6,,,4,,,,,,,,2,,,,11,,,,,,,,,,,,,,,,,,,2,,,,,36
ucsc,cl1,re,2,4,4,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,14,,,,,2,,,,,42
ucsc,cl1,re,3,1,3,,,,,,,,1,,,,,,,,,14,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,6,1,,1,,33
ucsc,cl1,re,3,2,,,,,,,,,3,1,,,,,,,,11,,,2,,,,,,,,,,,,12,,,,,,,,,,,,,,1,,,,,2,,,,3,35
ucsc,cl1,re,3,3,1,,,,,,,,1,,,,,,,,,13,,,,,,,,,1,,,,,,13,,,,,,,,,,,,,,,,,,,1,1,,,,31
ucsc,cl1,re,3,4,1,,,,,,,,2,3,,,,,,,,1,,,1,,,,,,,,,,,,14,,,,,,,,,,,,,,1,,,,,4,1,,,2,30
ucsc,cl1,sd,1,1,3,,,,,,,,3,,,,,,,,,12,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,1,,,2,28
ucsc,cl1,sd,1,2,3,,,,,,,,,,,,1,,,,,16,,,,,,,,,,,,,,,6,,,,,1,,,,,,,,,,,,,,1,1,,,1,30
ucsc,cl1,sd,1,3,2,,,,,,,,13,1,,,,,,,,2,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,2,23
ucsc,cl1,sd,1,4,2,,,,,,,,9,6,,,,,,,,6,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,2,,,,33
ucsc,cl1,sd,2,1,3,,,,,,,,5,,,8,,,,,,4,,,1,,,,,,,,,,,,16,,,,,3,,,,,,,,,3,,,,,8,,,,,51
ucsc,cl1,sd,2,2,,,,,,,,,3,,,1,,,,,,8,,,1,,,,,,,1,,,,,14,,,,,,,,,,,,,,,,,,,2,4,,,1,35
ucsc,cl1,sd,2,3,1,,,,,,,,13,4,,,,,,,,,,,4,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,4,1,,,1,30
ucsc,cl1,sd,2,4,7,1,,,,,,,4,,1,1,,,,,,1,,,2,,,,,,,,1,,,,11,,,,,1,,,,,,,,,3,,,,,4,3,,,,40
ucsc,cl1,sd,3,1,3,,,,,,,,8,2,,,,,,,,9,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,1,,,,,1,1,,,1,34
ucsc,cl1,sd,3,2,1,,,,,,,,11,2,,,,,,,,11,,,,,,,,,4,,,,,,11,,,,,,,,,,,,,,3,,,,,4,,,,,47
ucsc,cl1,sd,3,3,4,,,,,,,,,,,,,,,,,18,,,,,,,,,3,4,,,,,11,,,,,,,,,,,,,,,,,,,4,,,,,44
ucsc,cl1,sd,3,4,3,1,,,,,,,6,,1,,1,,,,,2,,,5,,,,,,1,,,,,,16,,,,,1,,,,,,,,,3,,,,,3,,,,1,44
ucsc,cl2,ll,1,1,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,2,,,,1,32
ucsc,cl2,ll,1,2,,,,,,,,,24,,,,,,,,,1,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,1,,,,,29
ucsc,cl2,ll,1,3,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,1,31
ucsc,cl2,ll,1,4,2,,,,,,,,14,,,,2,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,31
ucsc,cl2,ll,2,1,,,,,,,,,8,1,,1,,,,,,5,,,1,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,1,1,,,1,32
ucsc,cl2,ll,2,2,1,,,,,,,,2,2,,2,,,,,,1,,,2,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,4,1,,,,27
ucsc,cl2,ll,2,3,,,,,,,,,,,,2,,,,,,3,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,6,,,,2,32
ucsc,cl2,ll,2,4,,,,,,,,,7,,,2,,,,,,5,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,5,1,,,,36
ucsc,cl2,ll,3,1,,,,,,,,,9,,,1,1,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,2,,,,,4,,,,,33
ucsc,cl2,ll,3,2,,,,,,,,,6,2,,1,1,,,,,15,,,,,,,,,2,,,,,,5,,,,,,,,,,,,,,1,,,,,1,,,,1,35
ucsc,cl2,ll,3,3,3,,,,,,,,9,2,,2,,,,,,7,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,4,1,,,1,38
ucsc,cl2,ll,3,4,,,,,,,,,16,,,1,1,,,,,2,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,1,,,,,5,,,,,34
ucsc,cl2,re,1,1,1,,,,,,,,8,,,,1,,,,,15,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,2,1,,,,34
ucsc,cl2,re,1,2,7,,,,,,,,5,1,,,,,,,,9,,,1,,,,,,,,,,,,11,,,,,,,,,,,,,,2,,,,,3,2,,,1,42
ucsc,cl2,re,1,3,2,,,,,,,,15,4,,,,,,,,,,,4,,,,,,,,,,,,9,,,,,,,,,,,,,,3,,,,,1,,,,,38
ucsc,cl2,re,1,4,2,,,,,,,,17,,,,,,,,,,,,5,,,,,,,,,,,,6,,,,,,,,,,,,,,2,,,,,2,,,,1,35
ucsc,cl2,re,2,1,1,,,,,,,,8,1,,2,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,14
ucsc,cl2,re,2,2,,,,,,,,,7,,,1,,,,,,1,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,2,1,,,,24
ucsc,cl2,re,2,3,1,,,,,,,,7,,,,,,,,,13,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,3,,,,,35
ucsc,cl2,re,2,4,,,,,,,,,8,4,,1,2,,,,,1,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,5,,,,,34
ucsc,cl2,re,3,1,2,,,,,,,,4,,,3,,,,,,11,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,1,,,,,34
ucsc,cl2,re,3,2,1,,,,,,,,9,1,,12,1,,,,,5,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,1,,,,,2,,,,,46
ucsc,cl2,re,3,3,,,,,,,,,13,,,5,1,,,,,2,,,1,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,1,2,,,,38
ucsc,cl2,re,3,4,1,,,,,,,,18,,,6,1,,,,,1,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,3,,,,,4,1,,,,41
ucsc,cl2,sd,1,1,3,,,,,,,,3,,,,,,,,,7,,,,,,,,,3,,,,,,2,,,,,2,,,,,,,,,,,,,,6,3,,,3,32
ucsc,cl2,sd,1,2,3,,,,,,,,4,2,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,3,,,,5,4,,,2,25
ucsc,cl2,sd,1,3,,,,,,,,,16,2,,,,,,,,5,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,36
ucsc,cl2,sd,1,4,2,,,,,,,,11,,,,,,,,,5,,,,,,,,,,,,,,,6,,,,,1,,,,,,,,,2,,,,,4,,,,2,33
ucsc,cl2,sd,2,1,1,,,,,,,,19,7,,,,,,,,3,,,,,,,,,,,,,2,,3,,,,,,,,,,,,,,3,,,,,5,,,,,43
ucsc,cl2,sd,2,2,2,,,,,,,,22,2,,,1,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,4,,,,,5,,,,,38
ucsc,cl2,sd,2,3,,,,,,,,,1,,,2,,,,,,1,,,,,,,,,,,,,,,2,,,,,4,,,,,,,,,,,,,,1,12,,,1,24
ucsc,cl2,sd,2,4,,,,,,,,,12,1,,,,,,,,4,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,6,,,,,,7,,,,38
ucsc,cl2,sd,3,1,3,,,,,,,,1,,,,1,,,,,3,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,1,,,,,,1,,,1,22
ucsc,cl2,sd,3,2,4,,,,,,,,5,,,,,,,,,14,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,2,1,,,,32
ucsc,cl2,sd,3,3,3,,,,,,,,4,,,2,,,,,,12,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,1,,,,,5,,,,,33
ucsc,cl2,sd,3,4,,,,,,,,,13,,,,,,,,,4,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,4,,,,22
ucsc,cl3,ll,1,1,,,,,,,,,3,1,,,,,,,,2,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,7,2,,,,18
ucsc,cl3,ll,1,2,3,,,,,,,,9,1,,,,,,,,2,,,3,,,,,,,,,,,,6,,,,,,,,,,,,,,4,,,,,5,,,,1,34
ucsc,cl3,ll,1,3,3,,,,,,,,3,2,,,,,,,,6,,,3,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,2,2,,1,2,31
ucsc,cl3,ll,1,4,3,,,,,,,,1,,,,,,,,,19,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,5,,,1,3,35
